Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,Response,DVD,BoxOffice,Production,Website
Everything Calls for Salvation,2022–,TV-MA,14 Oct 2022,38S min,"Comedy, Drama",N/A,N/A,"Federico Cesari, Ricky Memphis, Flaure B.B. Kabore","A young man spends a week in a psychiatric ward, where he meets five other patients and must contend with research-happy doctors and cynical nurses.",Italian,Italy,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BOGQ2NzljODMtNTE3ZC00NTg0LWI4NzctZTExYzA0M2EzZjExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"1,954",tt14987274,series,N/A,True,,,,
Scream: The TV Series,2015–2019,TV-14,30 Jun 2015,31S min,"Comedy, Crime, Drama",N/A,"Jay Beattie, Jill E. Blotevogel, Dan Dworkin","Willa Fitzgerald, Bex Taylor-Klaus, John Karna",A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.,English,United States,3 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BOGUyZGMzMTItN2M0ZS00ZDI5LWFkZGMtMmUzMTE0MTk1NWFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"45,874",tt3921180,series,3,True,,,,
Whatever Happened to the Likely Lads?,1973–1974,N/A,09 Jan 1973,30 min,Comedy,N/A,N/A,"James Bolam, Rodney Bewes, Brigit Forsyth","Returning from the Army, Terry finds his best mate Bob is marrying Thelma, Terry's former partner. Their lives intertwine as Terry reintegrates, challenging the relationships between the three.",English,United Kingdom,Won 1 BAFTA Award1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BOTA4NmIwZGItMTJiOC00MjMyLTkwNTQtZmIwYWIxZTMyMjMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"1,316",tt0069655,series,2,True,,,,
Vampire Knight,2008,TV-14,07 Apr 2008,1 min,"Animation, Action, Drama",N/A,N/A,"Yui Horie, Mamoru Miyano, Daisuke Kishio","Yuki Cross, along with her best friend Zero, attempts to keep the peace between humans and vampires at Cross Academy, but personal issues soon threaten the situation.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BOWU0ZjMxOTItNmRhYy00NjRlLTllMjgtYTdhYzBlMTgzYzY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"5,880",tt1209393,series,2,True,,,,
Deltora Quest,2007–2010,TV-Y7,10 Oct 2010,N/A,"Animation, Adventure, Family",N/A,N/A,"Victor Atelevich, Cole Howard, Laura Rushfeldt","Leif must restore the seven gems and the belt of Deltora to save his homeland. Along with his companions Barda and Jasmine, Lief must face devious enemies and dangerous beasts to oust the Shadow Lord and return peace to Deltora.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNzkyNzk4OTEwNF5BMl5BanBnXkFtZTgwOTA3MTc3MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,317,tt0926230,series,1,True,,,,
The New Batman Adventures,1997–1999,TV-PG,13 Sep 1997,30 min,"Animation, Action, Adventure",N/A,"Bob Kane, Alan Grant","Kevin Conroy, Tara Strong, Mathew Valencia","The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.",English,United States,6 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BZGY3M2UyMmQtMWM5Zi00Njg1LWIxOWUtYmE0Mjg3Zjg3NTdiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"19,768",tt0118266,series,2,True,,,,
The Adventures of Puss in Boots,2015–2018,TV-Y7,16 Jan 2015,23 min,"Animation, Action, Adventure",N/A,N/A,"Eric Bauza, Jayma Mays, Grey Griffin","The famous cat protects the city of San Lorenzo, a mythical land invisible to the outside world.",English,"United States, India, Canada",1 win & 12 nominations,https://m.media-amazon.com/images/M/MV5BNTU3MTI0NDE1M15BMl5BanBnXkFtZTgwMzU2ODI5NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"2,585",tt3807034,series,6,True,,,,
The Real Adventures of Jonny Quest,1996–1997,TV-PG,26 Aug 1996,21 min,"Animation, Action, Adventure",N/A,N/A,"Frank Welker, Quinton Flynn, J.D. Roth",A teenager and his extended family investigate the supernatural and other mysteries around the world.,"English, French",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMzAyNGVkMjQtYTU0Yi00NzI0LTk2ODAtNjdlZTE0MzViNDczXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"2,806",tt0115226,series,2,True,,,,
El juego de las llaves,2019–,TV-MA,16 Aug 2019,30 min,"Comedy, Drama, Romance",N/A,"Verónica Bellver, Sandro Halphen, Marisa Quiroga","Fabiola Campomanes, Hugo Catalán, Horacio Pancheri","Eight friends, all in stable relationships, venture into a game of sexual discovery by exchanging couples while trying to free themselves from their daily routines and add a spice to their love lives.",Spanish,Mexico,1 nomination,https://m.media-amazon.com/images/M/MV5BNWE5ODQ4OTctN2VjZi00OTZmLTk2MGMtMTc2YTQ1ODdhMWZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"2,472",tt9863788,series,3,True,,,,
The Terminal List,2022–,R,01 Jul 2022,2 min,"Action, Drama, Thriller",N/A,N/A,"Chris Pratt, Constance Wu, Taylor Kitsch",A former Navy SEAL officer investigates why his entire platoon was ambushed during a high-stakes covert mission.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BOTU3NDc5OTYtNjUxNS00MzgxLWI3YjItZmZmNWJkYTNiNGUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"111,234",tt11743610,series,1,True,,,,
GLOW,2017–2019,TV-MA,23 Jun 2017,35 min,"Comedy, Drama, Sport",N/A,"Liz Flahive, Carly Mensch","Alison Brie, Marc Maron, Betty Gilpin",A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.,"English, Spanish, Russian, Central Khmer",United States,Won 3 Primetime Emmys. 13 wins & 108 nominations total,https://m.media-amazon.com/images/M/MV5BY2RlNTc4NzMtNTNjZC00NWEyLTlhMWItMDdkM2E2ZTdkZWIyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"51,463",tt5770786,series,3,True,,,,
Queen Woo,2024–,N/A,29 Aug 2024,N/A,"Action, Drama, History",N/A,N/A,"Yu Eui-tae, Ko Han-min, Jeon Jong-seo","A thrilling tale of Queen Woo, who, after the sudden death of the king, must marry one of the power-hungry princes to ensure her survival. A fierce battle in Goguryeo breaks out among the 5 tribes vying for the throne.",Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BNzFjMTcxMzUtYzY0NS00MzY4LWJiMmUtOTBkOGU5YWIwZDkyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,813,tt27554432,series,N/A,True,,,,
Love O2O,2016–,N/A,22 Aug 2016,45 min,"Drama, Romance",N/A,Man Gu,"Yang Yang, Shuang Zheng, Denny Huang",A story of two popular college students who fell in love through an online game.,Chinese,China,3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNTkwMTEwNTAtODViYS00OTFkLTlhMzUtYWQzMGNhZTRiZDY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"3,605",tt6055498,series,1,True,,,,
Love O2O,2016–,N/A,22 Aug 2016,45 min,"Drama, Romance",N/A,Man Gu,"Yang Yang, Shuang Zheng, Denny Huang",A story of two popular college students who fell in love through an online game.,Chinese,China,3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNTkwMTEwNTAtODViYS00OTFkLTlhMzUtYWQzMGNhZTRiZDY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"3,605",tt6055498,series,1,True,,,,
Wilsberg,1995–,N/A,20 Feb 1995,90 min,"Comedy, Crime",N/A,N/A,"Leonard Lansink, Rita Russek, Roland Jankowsky",Wilsberg: the thriller from Münster.,German,Germany,1 nomination,https://m.media-amazon.com/images/M/MV5BMzRjM2RiZDUtZjYwMC00Mjk2LWE0ZTYtODVlMGQ3NmFmMTZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,432,tt0880565,series,1,True,,,,
SK8 the Infinity,2021,TV-14,01 Mar 2022,1 min,"Animation, Adventure, Comedy",N/A,N/A,"Chiaki Kobayashi, Tasuku Hatanaka, Amber Lee Connors","High school sophomore and hardcore skater Reki introduces transfer student Langa to a secret, no-holds-barred race down an abandoned mine.",Japanese,Japan,2 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMjA1YzRjYjAtZDEwZC00NTVkLTk2MWUtYzNmNzcxMDhhMWMwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"5,080",tt13129190,series,1,True,,,,
Red Eagle,2010,N/A,07 Oct 2010,130 min,"Action, Sci-Fi, Thriller",Wisit Sasanatieng,Wisit Sasanatieng,"Ananda Everingham, Yarinda Boonnak, Wannasing Prasertkul","Year 2016, Bangkok is a rotten capital infested with chaos and criminals. Widespread corruption by politicians has dipped the moral compass to a new low, and the government's hasty plan to construct a nuclear power plant has sprea...",Thai,Thailand,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMjA5OTY5ODU0N15BMl5BanBnXkFtZTcwMDk2NDEyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,929,tt1743711,movie,,True,N/A,N/A,N/A,N/A
She-Ra and the Princesses of Power,2018–2020,TV-Y7-FV,13 Nov 2018,30S min,"Animation, Action, Adventure",N/A,Nate Stevenson,"Aimee Carrero, Marcus Scribner, Karen Fukuhara","She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde.",English,"United States, South Korea",1 win & 11 nominations,https://m.media-amazon.com/images/M/MV5BNzdlYmVmY2EtN2Q1NS00YjIwLWI1MGYtOWI3YzY2OTMyYTAxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"19,913",tt7745956,series,5,True,,,,
The Wayans Bros.,1995–2023,TV-PG,11 Jan 1995,30 min,Comedy,N/A,"Leslie Ray, David Steven Simon, Marlon Wayans","Shawn Wayans, Marlon Wayans, John Witherspoon","The wacky escapades of brothers Shawn and Marlon Williams, along with their wise but eccentric father.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNmRlYzQ5NzAtMGNmYy00OTAzLWEwZDYtNTViZTFhNzM4Mzc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"5,817",tt0112220,series,5,True,,,,
Duckman: Private Dick/Family Man,1994–1997,TV-PG,01 Jan 1994,30 min,"Animation, Adventure, Comedy",N/A,"Everett Peck, Gabor Csupo, Arlene Klasky","Jason Alexander, Gregg Berger, Nancy Travis","A crass, womanizing duck works as a private eye with his level-headed pig sidekick, all the while raising a family as a single dad.",English,United States,Nominated for 3 Primetime Emmys. 1 win & 10 nominations total,https://m.media-amazon.com/images/M/MV5BODU4YTRlYTAtYWMwOC00Mzk0LWI0ZTEtNGM2YTQwYjYxYmE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"6,784",tt0108755,series,4,True,,,,
The Detectives,1993–1997,N/A,27 Jan 1993,50 min,"Comedy, Crime",N/A,N/A,"Jasper Carrott, Robert Powell, George Sewell","In the never ending, high tech war against crime, Detective Constables Bob Louis and David Briggs are the Scud missiles of the police arsenal of intuition, hunches and inspired guesses... all of them hopelessly wrong.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMmYxMTA4ZGItZmIyMy00Zjk4LWFkMjgtNWQzZmM5NjE2N2QwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"1,638",tt0096565,series,4,True,,,,
The Lazarus Project,2008,PG-13,24 Oct 2008,100 min,"Drama, Mystery, Thriller",John Glenn,"John Glenn, Evan Astrowsky","Paul Walker, Piper Perabo, Brooklynn Proulx",A paroled former criminal is drawn into an endeavor that puts life with his family at risk and subsequently finds himself living an inexplicable new life working at a psychiatric facility.,English,"United States, Canada, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BYmI5NGNjNjctNTQwOS00MjZjLWI1YzQtNjYzMmQ1ZjhlM2U1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.0,"19,490",tt0464041,movie,,True,N/A,N/A,N/A,N/A
Glitch,2015–2019,TV-MA,15 Oct 2016,3 min,"Drama, Horror, Sci-Fi",N/A,"Tony Ayres, Louise Fox","Patrick Brammall, Emma Booth, Sean Keenan",Seven people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.,"English, Italian",Australia,5 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BZWRjOTYyM2UtZWViZS00YjYzLWE2N2UtMWM0NjNkMzAxMTFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"21,639",tt4192782,series,3,True,,,,
Turbo FAST,2013–2016,TV-Y7,24 Dec 2013,1 min,"Animation, Action, Adventure",N/A,N/A,"Reid Scott, Amir Talai, Eric Bauza",Indy 500 champion Turbo and his friends race other species and battle enemies in the snail populated world of Starlight City.,English,United States,10 nominations,https://m.media-amazon.com/images/M/MV5BZWI0MGRlNTktMGI5OS00YWM3LWFkMTYtOGMyM2YyZDZlNmMxXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,777,tt3010520,series,3,True,,,,
Elfen Lied,2004,TV-MA,24 Jul 2004,24 min,"Animation, Action, Drama",N/A,Lynn Okamoto,"Sanae Kobayashi, Chihiro Suzuki, Mamiko Noto","Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality.","English, Japanese",Japan,N/A,https://m.media-amazon.com/images/M/MV5BYmNlZjlmNGYtOWU3ZC00ZjE3LWJjNzctMjhjNDRkMzg3NGUxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"37,985",tt0480489,series,1,True,,,,
Dead Mount Death Play,2023,TV-MA,11 Apr 2023,N/A,"Animation, Action, Fantasy",N/A,N/A,"Morgan Berry, Brandon Acosta, Bree Han",A necromancer in a distant era incarnates himself into a young boy in modern Tokyo. But he gets caught in a mystery about the boy and his own past.,"French, English, German, Japanese",Japan,1 nomination,https://m.media-amazon.com/images/M/MV5BNGYzNDFmMjgtZjFlMi00Yzg5LTkxMmEtOGY0N2FjNGNjZjA1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,240",tt27489241,series,1,True,,,,
Bad Girls,1994,R,22 Apr 1994,99 min,"Action, Adventure, Drama",Jonathan Kaplan,"Albert S. Ruddy, Charles Finch, Gray Frederickson","Madeleine Stowe, Mary Stuart Masterson, Andie MacDowell",Four prostitutes join together to travel the Old West.,"English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BMmVlZWJkNmYtYjBjZS00ODJmLTgxZDItMjM3NTM2OTNlNDBmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,5.2,"13,719",tt0109198,movie,,True,N/A,"$15,240,435",N/A,N/A
YATAGARASU: The Raven Does Not Choose Its Master,2024–,N/A,06 Apr 2024,N/A,"Animation, Drama, Fantasy",N/A,N/A,"Mutsumi Tamura, Miyu Irino, Rina Honnizumi","In a world of shapeshifting ravens, Yukiya, a Northern leader's son, is summoned by the Imperial Prince as murder, mysteries and an invasion from an unknown enemy threaten the four noble regions.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BYzRkMTU4NjYtMjQwYi00ZDI0LTgxNzItNmEyNTM3N2Q4YjVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,197,tt32174340,series,1,True,,,,
The Outpost,2019,R,03 Jul 2020,123 min,"Action, Drama, History",Rod Lurie,"Paul Tamasy, Eric Johnson, Jake Tapper","Scott Eastwood, Caleb Landry Jones, Orlando Bloom",A small team of U.S. soldiers battles against hundreds of Taliban fighters in Afghanistan.,English,United States,2 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BNTQyZDhkYWYtMDE3YS00NWEyLWI1YWYtOTg4YzM5MTM1YTE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.8,"42,313",tt3833480,movie,,True,N/A,"$186,635",N/A,N/A
Crash,2004,R,06 May 2005,112 min,"Crime, Drama, Thriller",Paul Haggis,"Paul Haggis, Bobby Moresco","Don Cheadle, Sandra Bullock, Thandiwe Newton","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","English, Persian, Spanish, Mandarin, Korean","United States, Germany",Won 3 Oscars. 66 wins & 112 nominations total,https://m.media-amazon.com/images/M/MV5BOTk1OTA1MjIyNV5BMl5BanBnXkFtZTcwODQxMTkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.7,"451,742",tt0375679,movie,,True,N/A,"$54,580,300",N/A,N/A
Monthly Girls' Nozaki-kun,2014,TV-PG,01 Jun 2014,1 min,"Animation, Comedy, Romance",N/A,N/A,"Yûichi Nakamura, Ari Ozawa, Masumi Tazawa","Chiyo Sakura confesses her feelings to her schoolmate Nozaki. Due to a misunderstanding, Nozaki thinks Chiyo is just a fan. She then discovers Nozaki's other identity; a shojo manga artist.",Japanese,Japan,4 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BNTJhMjRjYzMtNDYyMC00NTQ0LThiNzctMjY3MjIyYWI4NTNjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"4,310",tt3615002,series,2,True,,,,
A Little Late with Lilly Singh,2019–2021,TV-14,16 Sep 2019,30 min,"Comedy, Talk-Show",N/A,N/A,"Lilly Singh, Alison Sieke, Henry Dittman",Late-night talk show hosted by Canadian comedian and YouTuber Lilly Singh.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMDUxNmMxOTYtN2U3Zi00NDEzLWJiNWMtMzY0MGQ4YmE2ZWQ2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '1.5/10'}]",N/A,1.5,"7,721",tt10023178,series,2,True,,,,
The OA,2016–2019,TV-MA,16 Dec 2016,2 min,"Drama, Fantasy, Mystery",N/A,"Zal Batmanglij, Brit Marling","Brit Marling, Jason Isaacs, Scott Wilson","Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous.",English,United States,3 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTY5OTkwNDkzOF5BMl5BanBnXkFtZTgwMDEyNzI1NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"119,196",tt4635282,series,2,True,,,,
Just Shoot Me!,1997–2003,TV-14,04 Mar 1997,30 min,Comedy,N/A,Steven Levitan,"Laura San Giacomo, Enrico Colantoni, George Segal","Hot-tempered journalist Maya got herself fired yet again. Unable to find a job anywhere else and facing eviction, she is forced to go work for Blush, her father's fashion magazine.",English,United States,Nominated for 6 Primetime Emmys. 6 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BMTUzZGEzMTUtZDMxYy00MjJmLWJiMDUtMzNmNDI3OWY5NTMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"22,250",tt0118364,series,7,True,,,,
Chelsea,2016–2017,TV-MA,11 May 2016,30 min,"Comedy, Talk-Show",N/A,N/A,"Chelsea Handler, Jeff Wild, Daniel Maurio","Chelsea Handler interviews celebrities, academics, and professionals in her new show on Netflix.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNTQyMzAyOTM1Ml5BMl5BanBnXkFtZTgwOTQ3MzQwMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"2,169",tt5672036,series,2,True,,,,
Monster High,2010–2017,TV-Y7-FV,05 May 2010,51S min,"Animation, Comedy, Family",N/A,N/A,"Karen Strassman, Eleonora Reti, Silvia Sarmentera","In the town of New Salem, the teenage children of famous monsters attend a school for monsters called Monster High.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDk2NGEwMDEtMTJiZS00ZmNjLThlMDUtNjc1N2RjOWRmY2FlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,937,tt6928178,series,6,True,,,,
Monster High,2010–2017,TV-Y7-FV,05 May 2010,51S min,"Animation, Comedy, Family",N/A,N/A,"Karen Strassman, Eleonora Reti, Silvia Sarmentera","In the town of New Salem, the teenage children of famous monsters attend a school for monsters called Monster High.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDk2NGEwMDEtMTJiZS00ZmNjLThlMDUtNjc1N2RjOWRmY2FlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,937,tt6928178,series,6,True,,,,
Poldark,2015–2019,TV-14,21 Jun 2015,60 min,"Drama, Romance",N/A,Debbie Horsfield,"Aidan Turner, Eleanor Tomlinson, Jack Farthing","Ross Poldark returns home after the American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.","English, Cornish",United Kingdom,Won 1 BAFTA Award6 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BOWE4MmQ2ZjktMmQ4Yy00ZTExLTkyNmUtODA0ODI4YmE0NDA3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"36,859",tt3636060,series,5,True,,,,
RWBY,2012–,TV-PG,18 Jul 2013,1 min,"Animation, Action, Adventure",N/A,Monty Oum,"Lindsay Jones, Kara Eberle, Barbara Dunkelman","Four teenage girls form Team RWBY and train to fight crime and monsters known as the Grimm, while the world of Remnant remains on the brink of an all-out war.",English,United States,4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BOTFlYmEwYmUtZWNmMC00ZWYwLWI5NDMtNGM0YmEwOWUwMjczXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"7,806",tt3066242,series,9,True,,,,
Tenspeed and Brown Shoe,1980,TV-PG,27 Jan 1980,60 min,"Crime, Drama",N/A,Stephen J. Cannell,"Ben Vereen, Jeff Goldblum, Richard Romanus",A con-man and an accountant-wanna-be private eye team up to fight crime.,English,United States,Nominated for 1 Primetime Emmy. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTMyMTkwODQ2OF5BMl5BanBnXkFtZTcwMTkwNjUxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,533,tt0080289,series,1,True,,,,
Love is Sweet,2020,TV-PG,27 Sep 2020,N/A,"Comedy, Drama, Romance",N/A,N/A,"Yunxi Luo, Lu Bai, Gao Han Yu","It follows the story of a girl named Jiang Jun who meets her close childhood friend, Ma Yuanshuai, in the workplace-this time, however, not as an ally but as a rival... Jiang Jun (Bai Lu) is an educated woman with a double degree ...",Chinese,China,5 wins,https://m.media-amazon.com/images/M/MV5BZThlN2FiNjUtZjc4NS00N2ZjLWE0ZDAtNWZjYTA1ZTQzNWQ2XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"1,395",tt12363150,series,1,True,,,,
El Dragón: Return of a Warrior,2019–2020,TV-MA,04 Oct 2019,45 min,"Action, Adventure, Drama",N/A,Arturo Pérez-Reverte,"Sebastián Rulli, Renata Notni, Manuel Balbi","After the murder of his parents when he was a little kid, Mexican Miguel Garza is sent away to Japan. 20 years later, he has to go back to his home country as the new heir of his family's cartel.","Spanish, English, Japanese",Mexico,N/A,https://m.media-amazon.com/images/M/MV5BZDA2YTFkMjAtNDM1Zi00ZTFiLTk2ZGItMzYzZWJhMGNlMGVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"2,242",tt9281190,series,2,True,,,,
The Alienist,2018–2020,TV-MA,22 Jan 2018,60 min,"Crime, Drama, Mystery",N/A,N/A,"Daniel Brühl, Dakota Fanning, Luke Evans",Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.,English,United States,Won 1 Primetime Emmy. 3 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTAyMDg5NjYzNTZeQTJeQWpwZ15BbWU4MDA2MTczMjQz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"61,799",tt4604612,series,2,True,,,,
The Alienist,2018–2020,TV-MA,22 Jan 2018,60 min,"Crime, Drama, Mystery",N/A,N/A,"Daniel Brühl, Dakota Fanning, Luke Evans",Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.,English,United States,Won 1 Primetime Emmy. 3 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTAyMDg5NjYzNTZeQTJeQWpwZ15BbWU4MDA2MTczMjQz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"61,799",tt4604612,series,2,True,,,,
